index,satellite position,satellite velocity,satellite acceleration,time,sv
187.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G02
188.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G03
189.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G05
190.0,"[-14793597.197843488, -8584974.311998246, 20359290.98123332]","[2370.3950176382555, -2449.1809344858, 1284.8904726244955]","[-0.12227406076975664, -0.209375750817906, -0.43164359226931925]",2023-03-02 05:59:28,G06
191.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G07
192.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G08
193.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G09
194.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G10
195.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G11
196.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G12
197.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G13
198.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G14
199.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G15
200.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G16
201.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G17
202.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G18
203.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G19
204.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G20
205.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G21
206.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G22
207.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G23
208.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G24
209.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G25
210.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G26
211.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G27
212.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G28
213.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G29
214.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G30
215.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G31
216.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:28,G32
217.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G01
218.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G02
219.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G03
220.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G05
221.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G06
222.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G07
223.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G08
224.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G09
225.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G10
226.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G11
227.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G12
228.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G13
229.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G14
230.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G15
231.0,"[-4928954.60062746, -20084848.954767205, -16283071.757822234]","[1673.9979152256544, -568.9891266130498, -2142.275737450072]","[-0.00146876858837389, 0.0880188951424707, 0.3559387039383131]",2023-03-02 05:59:44,G16
232.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G17
233.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G18
234.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G19
235.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G20
236.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G21
237.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G22
238.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 05:59:44,G23
